task_id,candidates,distinct_sources,valid_fraction,initial_public,initial_hidden,fully_correct_candidates,public_perfect_hidden_imperfect,public_frontier_count,public_frontier_hidden,trusted_score_std
asymmetric_hinge,16,16,0.9375,0.40625,0.1077586206896552,0,6,6,0.16091954022988506,0.10525246623633462
parity_switch,16,14,0.9375,0.578125,0.5689655172413792,5,3,8,0.9870689655172414,0.4593676399320332
shifted_clip,16,16,0.6875,0.578125,0.31034482758620685,3,6,9,0.49808429118773945,0.3895178274880811
signed_square,16,15,0.125,0.125,0.125,2,0,2,1.0,0.3415650255319866
split_threshold,16,16,0.5625,0.390625,0.3728448275862069,3,3,6,0.632183908045977,0.4318325944339277
two_landmark_distance,16,16,0.9375,0.640625,0.4849137931034483,2,8,10,0.5241379310344828,0.37446619425273786
weighted_floor,16,14,0.6875,0.546875,0.3103448275862069,3,4,7,0.6502463054187191,0.3802496207473165
wrap_six,16,16,1.0,0.3125,0.2629310344827586,3,0,3,1.0,0.41890993434809015
