task_id,candidates,distinct_sources,valid_fraction,initial_public,initial_hidden,fully_correct_candidates,public_perfect_hidden_imperfect,public_frontier_count,public_frontier_hidden,trusted_score_std
bucket,16,15,0.125,0.015625,0.008620689655172414,0,0,1,0.13793103448275862,0.034482758620689655
digits,16,13,0.25,0.109375,0.03879310344827586,0,1,1,0.4482758620689655,0.111825553516815
divisor_code,16,16,0.8125,0.203125,0.17025862068965517,1,0,1,1.0,0.28448275862068967
fold,16,12,0.8125,0.703125,0.6336206896551724,9,2,11,0.9028213166144201,0.457097114947211
nearest,16,15,0.75,0.140625,0.2693965517241379,1,0,1,1.0,0.29102542612699317
round4,16,16,0.875,0.453125,0.3814655172413793,1,0,1,1.0,0.34216645579608923
saturating_square,16,15,0.4375,0.40625,0.3943965517241379,6,0,6,1.0,0.49041041803909935
signed_remainder,16,16,0.9375,0.328125,0.30603448275862066,0,4,4,0.6551724137931034,0.25178711226135386
