bank,task_clusters,runs,updates,mean_gain_abstain,mean_gain_interpolate,gain_difference,task_bootstrap_95_low,task_bootstrap_95_high,mean_paid_sources,partial_steps,budget_exhausted_proposals,abstentions,boundary_negative_slope,failure_count
v1,8,160,1920,0.18803411512803864,0.18877758298061498,0.0007434678525763207,-1.3752510202599474e-05,0.0022441560679315616,4.7875,3,816,813,813,0
v2,8,160,1920,0.1013769989763782,0.10180987281012521,0.0004328738337470245,0.0001005673197881824,0.0008649605984496374,4.75,10,978,968,968,0
