design,cohort,pairs,tasks,paid_draws,unique_labels,deadline_events,failure_difference,failure_lo,failure_hi,failure_task_mean,gain_difference,gain_lo,gain_hi,gain_task_mean,unique_difference,unique_lo,unique_hi,unique_task_mean
early,all,480,8,32.0,17.74375,0.0,-0.027083333333333334,-0.04583333333333334,-0.00625,0.12083333333333335,0.011590944258397028,0.000396004602054873,0.022401463438271405,0.18792873837902013,2.6791666666666667,2.15,3.104322916666667,17.74375
early,initially_safe_posthoc,450,8,32.0,17.744444444444444,0.0,-0.031305661189930604,-0.05335255574244714,-0.00872093023255814,0.07339039621016366,0.00615878186551619,-0.0027771710588187525,0.015875792528006603,0.19134769736694188,2.619848800643557,2.097130548851836,3.0940978316513092,17.77633363398502
geometry_10,all,480,8,32.0,17.675,0.33541666666666664,-0.03333333333333334,-0.05,-0.014583333333333334,0.11458333333333334,0.011058367218888728,0.0035892091223199392,0.01893258283258821,0.1873961613395118,2.6104166666666666,2.120729166666667,2.962552083333333,17.675
geometry_10,initially_safe_posthoc,450,8,32.0,17.67111111111111,0.35333333333333333,-0.0375556611899306,-0.05713238729624754,-0.016334730957372465,0.06714039621016366,0.005626204826007889,0.001250685654594617,0.011008625062201894,0.19081512032743358,2.5510988006435573,2.0825787077665647,2.9690251572327044,17.707583633985017
geometry_100,all,480,8,32.0,15.7125,1.86875,0.016666666666666666,-0.008333333333333333,0.04380208333333328,0.16458333333333336,-0.012748447614341685,-0.033221395813293995,0.004721425066978279,0.16358934650628143,0.6479166666666667,-0.23364583333333333,1.5001041666666666,15.7125
geometry_100,initially_safe_posthoc,450,8,32.0,15.684444444444445,1.9377777777777778,0.016987327937854485,-0.010879629629629628,0.04717079402515723,0.12168338533794873,-0.01717122209987466,-0.036450435089257,0.0008747226810694624,0.16801769340155104,0.5765891879154275,-0.2573055971998765,1.415825690076869,15.733074021256888
kl_01,all,480,8,32.0,17.558333333333334,1.10625,-0.025,-0.04171875,-0.00625,0.12291666666666667,0.006126219036666441,-0.005281620535057725,0.015011512387351406,0.18246401315728955,2.49375,1.9291666666666667,2.945885416666667,17.558333333333334
kl_01,initially_safe_posthoc,450,8,32.0,17.54222222222222,1.1177777777777778,-0.02839868444574456,-0.04867073105081826,-0.007075471698113208,0.0762973729543497,0.0006263626417237931,-0.009355445062228901,0.009391753162946392,0.18581527814314946,2.425527359303138,1.8954511146458,2.9018542540181693,17.582012192644598
kl_05,all,480,8,32.0,16.9625,1.63125,-0.025,-0.04171875,-0.00625,0.12291666666666667,0.005990199687315415,-0.003153297297688756,0.012947310475875282,0.18232799380793852,1.8979166666666667,1.3603125,2.3146354166666665,16.9625
kl_05,initially_safe_posthoc,450,8,32.0,16.946666666666665,1.6533333333333333,-0.02839868444574456,-0.04867073105081826,-0.007075471698113208,0.0762973729543497,0.0012619575658420234,-0.006486305974132994,0.00859679727107742,0.1864508730672677,1.8391772504184747,1.3518067667958655,2.2533193469357906,16.99566208375993
late,all,480,8,32.0,13.9,0.0,0.029166666666666667,0.010416666666666666,0.05,0.17708333333333331,-0.03826628483537578,-0.05328109758784372,-0.02238370640246609,0.1380715092852473,-1.1645833333333333,-1.554375,-0.7749479166666667,13.900000000000002
late,initially_safe_posthoc,450,8,32.0,13.953333333333333,0.0,0.0342999894365625,0.010416666666666668,0.05981114300456665,0.13899604683665676,-0.040088845595000616,-0.05757446341935472,-0.02235797770604386,0.14510006990642507,-1.2177849690410025,-1.687795946382429,-0.7873971436058701,13.938699864300457
maxlog_05,all,480,8,32.0,17.654166666666665,1.2,-0.025,-0.04171875,-0.00625,0.12291666666666667,0.005734472399847137,-0.005493008912119731,0.014437937587541909,0.18207226652047023,2.5895833333333336,1.90828125,3.1292187499999997,17.65416666666667
maxlog_05,initially_safe_posthoc,450,8,32.0,17.637777777777778,1.2155555555555555,-0.02839868444574456,-0.04867073105081826,-0.007075471698113208,0.0762973729543497,0.000541444112664363,-0.009337756736836404,0.009196816171264173,0.18573035961409007,2.523555348349666,1.8535173504461022,3.089084035700356,17.680040181691126
maxlog_15,all,480,8,32.0,16.460416666666667,2.0166666666666666,-0.027083333333333334,-0.04375,-0.010416666666666668,0.12083333333333333,0.005576682725256274,-0.001598913604847071,0.011839077760615177,0.18191447684587936,1.3958333333333335,0.9186458333333333,1.8083854166666664,16.460416666666667
maxlog_15,initially_safe_posthoc,450,8,32.0,16.424444444444443,2.042222222222222,-0.030482017779077893,-0.04929213034063023,-0.012879689556823178,0.07421403962101636,0.000794169165963592,-0.006330196804033857,0.007865433817504586,0.18598308466738928,1.316743353160093,0.8810359888190077,1.685493353160093,16.47322818650155
uniform,all,480,8,32.0,15.064583333333333,0.0,0.0,0.0,0.0,0.14791666666666667,0.0,0.0,0.0,0.17633779412062311,0.0,0.0,0.0,15.064583333333333
uniform,initially_safe_posthoc,450,8,32.0,15.113333333333333,0.0,0.0,0.0,0.0,0.10469605740009426,0.0,0.0,0.0,0.1851889155014257,0.0,0.0,0.0,15.156484833341459
