eta_step,refresh_interval,eta_times_L,max_score_span_exposure,max_block_KL,final_true_reward,minimum_true_reward,ever_below_initial,first_below_round,harmful_update_count,first_harmful_round
0.5,1,0.5,0.30877484035883146,0.0022268667642363627,0.6514269045124561,0.5711823061817947,0,,0,
0.5,2,1.0,0.6175496807176629,0.008823600881472802,0.651725442107359,0.5711823061817947,0,,0,
0.5,3,1.5,0.9263245210764943,0.019647649307993804,0.6520166207096416,0.5711823061817947,0,,0,
0.5,4,2.0,1.2350993614353258,0.03453781335441998,0.652299385648949,0.5711823061817947,0,,0,
0.5,5,2.5,1.5438742017941571,0.053318689835813435,0.6525136945900674,0.5711823061817947,0,,0,
0.5,6,3.0,1.8526490421529886,0.07580476756218532,0.6528347404193581,0.5711823061817947,0,,0,
0.5,7,3.5,2.1614238825118197,0.10180406088024682,0.6529401942158267,0.5711823061817947,0,,0,
0.5,8,4.0,2.4701987228706517,0.13112120713972836,0.6533198351399429,0.5711823061817947,0,,0,
0.5,9,4.5,2.778973563229483,0.16355999737610882,0.6533241498651422,0.5711823061817947,0,,0,
0.5,10,5.0,3.0877484035883143,0.1989253464747111,0.6535179611585765,0.5711823061817947,0,,0,
0.5,11,5.5,3.3965232439471458,0.23702473891911116,0.6538043242550099,0.5711823061817947,0,,0,
0.5,12,6.0,3.7052980843059773,0.27766920818703855,0.6540716205326487,0.5711823061817947,0,,0,
0.5,13,6.5,4.014072924664809,0.32067392199016687,0.6539984258187281,0.5711823061817947,0,,0,
0.5,14,7.0,4.322847765023639,0.365858452506345,0.653975439630218,0.5711823061817947,0,,0,
0.5,15,7.5,4.631622605382471,0.41304681155994727,0.6540134674657256,0.5711823061817947,0,,0,
0.5,16,8.0,4.940397445741303,0.46206732660832034,0.6541035375812048,0.5711823061817947,0,,0,
0.75,1,0.75,0.46316226053824716,0.004987419217439101,0.6538755029593205,0.5711823061817947,0,,0,
0.75,2,1.5,0.9263245210764943,0.01964764930799384,0.6539821809218735,0.5711823061817947,0,,0,
0.75,3,2.25,1.3894867816147416,0.04345331515088698,0.6540729567225171,0.5711823061817947,0,,0,
0.75,4,3.0,1.8526490421529886,0.07580476756218524,0.654147321241223,0.5711823061817947,0,,0,
0.75,5,3.75,2.3158113026912357,0.11606017138146443,0.6541946367304452,0.5711823061817947,0,,0,
0.75,6,4.5,2.778973563229483,0.16355999737610877,0.6542463460643898,0.5711823061817947,0,,0,
0.75,7,5.25,3.2421358237677302,0.21764518945937505,0.6542629722986346,0.5711823061817947,0,,0,
0.75,8,6.0,3.7052980843059773,0.27766920818703833,0.6542845046759593,0.5711823061817947,0,,0,
0.75,9,6.75,4.168460344844225,0.34300481262218074,0.6542865822238136,0.5711823061817947,0,,0,
0.75,10,7.5,4.631622605382471,0.41304681155994744,0.6542822275909018,0.5711823061817947,0,,1,20.0
0.75,11,8.25,5.094784865920718,0.48721212298993904,0.6542706046160487,0.5711823061817947,0,,2,21.0
0.75,12,9.0,5.557947126458966,0.5649383893431179,0.6542863390876542,0.5711823061817947,0,,3,22.0
0.75,13,9.75,6.021109386997213,0.6456821767094153,0.6542673371722719,0.5711823061817947,0,,3,13.0
0.75,14,10.5,6.4842716475354605,0.7289175048125632,0.6542594890871006,0.5711823061817947,0,,3,13.0
0.75,15,11.25,6.947433908073707,0.8141351640537646,0.6542858840937402,0.5711823061817947,0,,3,13.0
0.75,16,12.0,7.410596168611955,0.9008430137087267,0.6542257265795526,0.5711823061817947,0,,4,13.0
1.0,1,1.0,0.6175496807176629,0.008823600881472897,0.6542328857321669,0.5711823061817947,0,,0,
1.0,2,2.0,1.2350993614353258,0.034537813354420015,0.6542579341990002,0.5711823061817947,0,,0,
1.0,3,3.0,1.8526490421529886,0.07580476756218515,0.6542740170903811,0.5711823061817947,0,,0,
1.0,4,4.0,2.4701987228706517,0.1311212071397283,0.6542828180518989,0.5711823061817947,0,,0,
1.0,5,5.0,3.0877484035883143,0.19892534647471116,0.6542860731722941,0.5711823061817947,0,,0,
1.0,6,6.0,3.7052980843059773,0.27766920818703844,0.6542872811932564,0.5711823061817947,0,,0,
1.0,7,7.0,4.322847765023639,0.36585845250634513,0.6542873150565328,0.5711823061817947,0,,0,
1.0,8,8.0,4.940397445741303,0.4620673266083204,0.654286226678378,0.5711823061817947,0,,2,16.0
1.0,9,9.0,5.557947126458966,0.5649383893431182,0.6542873034884819,0.5711823061817947,0,,2,17.0
1.0,10,10.0,6.1754968071766285,0.6731759379869906,0.6542579551745167,0.5711823061817947,0,,4,10.0
1.0,11,11.0,6.7930464878942916,0.7855397588943405,0.6535872549899888,0.5711823061817947,0,,6,10.0
1.0,12,12.0,7.410596168611955,0.9008430137087271,0.6490996681423802,0.5711823061817947,0,,8,10.0
1.0,13,13.0,8.028145849329618,1.017955511529883,0.6480110642088155,0.5711823061817947,0,,8,10.0
1.0,14,14.0,8.645695530047279,1.1358117154614957,0.6484516352048687,0.5711823061817947,0,,8,10.0
1.0,15,15.0,9.263245210764943,1.2534217168022121,0.6502504550127369,0.5711823061817947,0,,8,10.0
1.0,16,16.0,9.880794891482607,1.3698830156881958,0.6526044850426138,0.5711823061817947,0,,8,10.0
1.25,1,1.25,0.7719371008970786,0.01371690209320202,0.6542807306491536,0.5711823061817947,0,,0,
1.25,2,2.5,1.5438742017941571,0.053318689835813525,0.6542851214642068,0.5711823061817947,0,,0,
1.25,3,3.75,2.3158113026912357,0.1160601713814643,0.6542868610746906,0.5711823061817947,0,,0,
1.25,4,5.0,3.0877484035883143,0.19892534647471122,0.6542872817386931,0.5711823061817947,0,,0,
1.25,5,6.25,3.859685504485393,0.29888791585843233,0.6542873148833898,0.5711823061817947,0,,0,
1.25,6,7.5,4.631622605382471,0.41304681155994705,0.654287312262829,0.5711823061817947,0,,2,18.0
1.25,7,8.75,5.40355970627955,0.538667888086122,0.654287152454582,0.5711823061817947,0,,4,13.0
1.25,8,10.0,6.1754968071766285,0.6731759379869903,0.654248162037605,0.5711823061817947,0,,7,8.0
1.25,9,11.25,6.947433908073707,0.8141351640537646,0.6542720751349519,0.5711823061817947,0,,6,8.0
1.25,10,12.5,7.719371008970786,0.9592413379377843,0.6535566779315569,0.5711823061817947,0,,8,8.0
1.25,11,13.75,8.491308109867864,1.106333482108056,0.6435578109228688,0.5711823061817947,0,,10,8.0
1.25,12,15.0,9.263245210764943,1.2534217168022121,0.5990755743512242,0.5711823061817947,0,,12,8.0
1.25,13,16.25,10.035182311662021,1.474755502965263,0.597164814463887,0.5711823061817947,0,,12,8.0
1.25,14,17.5,10.8071194125591,1.595400315350505,0.6029886458049515,0.5711823061817947,0,,12,8.0
1.25,15,18.75,11.579056513456178,1.6780409127376563,0.6151801090218726,0.5711823061817947,0,,12,8.0
1.25,16,20.0,12.350993614353257,1.8097601702578607,0.6307708581243743,0.5711823061817947,0,,11,8.0
1.5,1,1.5,0.9263245210764943,0.019647649307993845,0.6542865921094376,0.5711823061817947,0,,0,
1.5,2,3.0,1.8526490421529886,0.07580476756218525,0.654287195831394,0.5711823061817947,0,,0,
1.5,3,4.5,2.778973563229483,0.16355999737610863,0.6542873089881364,0.5711823061817947,0,,0,
1.5,4,6.0,3.7052980843059773,0.27766920818703844,0.654287315080207,0.5711823061817947,0,,0,
1.5,5,7.5,4.631622605382471,0.4130468115599473,0.6542873150513431,0.5711823061817947,0,,2,15.0
1.5,6,9.0,5.557947126458966,0.5649383893431181,0.6542873026004953,0.5711823061817947,0,,6,11.0
1.5,7,10.5,6.4842716475354605,0.7289175048125627,0.6542693575918765,0.5711823061817947,0,,6,7.0
1.5,8,12.0,7.410596168611955,0.9008430137087269,0.6519764723655361,0.5711823061817947,0,,9,7.0
1.5,9,13.5,8.33692068968845,1.0768544314758164,0.6535399333023355,0.5711823061817947,0,,9,7.0
1.5,10,15.0,9.263245210764943,1.2534217168022117,0.6502139014391224,0.5711823061817947,0,,10,7.0
1.5,11,16.5,11.253016827036326,2.4943856181806066,0.5967177300808313,0.5383683139749369,1,21.0,12,7.0
1.5,12,18.0,14.600606302969034,4.396155050942005,0.4575800481532182,0.4575800481532182,1,22.0,13,7.0
1.5,13,19.5,15.437440142858177,4.815238954134548,0.46052068921837713,0.46052068921837713,1,22.0,13,7.0
1.5,14,21.0,15.830775111401367,4.908753943140742,0.47826343690831674,0.47826343690831674,1,23.0,13,7.0
