n,replications,slope_mean,slope_sd,eta_10pct_wrong,eta_50pct_wrong,eta_90pct_wrong,transition_width_10_90
50,3000,0.3039696174066424,0.1237001303651411,2.222826086956521,3.445833333333328,,
200,3000,0.29549373386331035,0.05873533547702964,2.7543103448275836,3.4565217391304297,4.649999999999991,1.895689655172407
1000,2000,0.2930266234938289,0.025741139376419586,3.128030303030299,3.5029166666666613,3.9103448275862003,0.7823145245559013
5000,1000,0.2931358943521643,0.011528700764375874,3.3192307692307645,3.49006849315068,3.674999999999994,0.3557692307692295
20000,500,0.29251469930621726,0.005771549122330556,3.412499999999995,3.4968309859154876,3.5867187499999944,0.1742187499999992
