N,true_gain,selected_true
1,1.1102230246251565e-16,0.5711823061817948
2,0.07968120271026735,0.650863508892062
3,0.10980770827625663,0.6809900144580513
4,0.12282922361987014,0.6940115298016648
5,0.1280356945870107,0.6992180007688054
6,0.12909078310471622,0.7002730892865109
7,0.12772506066728384,0.6989073668490785
8,0.1248590568700284,0.6960413630518231
9,0.12102593666471095,0.6922082428465056
10,0.11655519805316528,0.6877375042349599
11,0.11166121691504427,0.6828435230968389
12,0.106489372225824,0.6776716784076187
13,0.10114159276633972,0.6723238989481344
14,0.09569125234358344,0.6668735585253781
15,0.09019225594611524,0.6613745621279099
16,0.08468481227545666,0.6558671184572513
17,0.07919923775177184,0.6503815439335665
18,0.0737585461375706,0.6449408523193653
19,0.06838026226592586,0.6395625684477205
20,0.06307772379816012,0.6342600299799548
21,0.057861035198556565,0.6290433413803512
22,0.05273777929794554,0.6239200854797402
23,0.04771355605058791,0.6188958622323826
24,0.04279239568329085,0.6139747018650855
25,0.037977079000879876,0.6091593851826745
26,0.03326938806687407,0.6044516942486687
27,0.028670304014294712,0.5998526101960894
28,0.024180164269650528,0.5953624704514452
29,0.019798788319946414,0.5909810945017411
30,0.015525578891415037,0.5867078850732097
31,0.011359603762947645,0.5825419099447423
32,0.007299662223539394,0.5784819684053341
33,0.0033443392775586167,0.5745266454593533
34,-0.0005079499809940158,0.5706743562008006
35,-0.004258923923514901,0.5669233822582798
36,-0.007910404367969082,0.5632719018138256
37,-0.011464291791233094,0.5597180143905616
38,-0.014922544817567163,0.5562597613642275
39,-0.018287163216148983,0.5528951429656457
40,-0.0215601737887553,0.5496221323930394
41,-0.02474361864604968,0.546438687535745
42,-0.027839545464411475,0.5433427607173832
43,-0.030849999390016536,0.5403323067917781
44,-0.03377701631696606,0.5374052898648286
45,-0.036622617314738926,0.5345596888670557
46,-0.039388804019498624,0.531793502162296
47,-0.042077554835707076,0.5291047513460876
48,-0.044690821820519644,0.526491484361275
49,-0.047230528144742934,0.5239517780370517
50,-0.04969856604162293,0.5214837401401717
51,-0.052096795169127685,0.519085511012667
52,-0.0544270413232828,0.5167552648585119
53,-0.056691095449963536,0.5144912107318311
54,-0.05889071291072667,0.512291593271068
55,-0.06102761296507431,0.5101546932167204
56,-0.06310347843722786,0.5080788277445668
57,-0.06511995554024896,0.5060623506415457
58,-0.06707865383434197,0.5041036523474527
59,-0.06898114629952545,0.5022011598822692
60,-0.07082896950570572,0.5003533366760889
61,-0.07262362386557314,0.4985586823162215
62,-0.07436657395778085,0.4968157322240138
63,-0.0760592489095886,0.49512305727220607
64,-0.07770304282962909,0.4934792633521656
65,-0.07929931528270967,0.491882990899085
66,-0.08084939179963824,0.4903329143821564
67,-0.08235456441598626,0.4888277417658084
68,-0.0838160922344981,0.48736621394729657
69,-0.08523520200653739,0.48594710417525727
70,-0.0866130887285585,0.48456921745323617
71,-0.08795091625010071,0.48323138993169396
72,-0.0892498178902505,0.48193248829154417
73,-0.09051089705990556,0.4806714091218891
74,-0.0917352278875111,0.47944707829428357
75,-0.09292385584623702,0.47825845033555764
76,-0.09407779838082198,0.4771045078009727
77,-0.09519804553253941,0.47598426064925525
78,-0.09628556056093818,0.4748967456208565
79,-0.09734128056119029,0.4738410256206044
80,-0.09836611707602905,0.4728161891057656
81,-0.09936095670140288,0.4718213494803918
82,-0.10032666168508692,0.47085564449670775
83,-0.10126407051760677,0.4699182356641879
84,-0.1021739985149201,0.46900830766687457
85,-0.10305723839238862,0.46812506778940605
86,-0.10391456082964823,0.46726774535214644
87,-0.10474671502605143,0.46643559115574323
88,-0.10555442924641584,0.4656278769353788
89,-0.10633841135686511,0.46484389482492955
90,-0.10709934935059678,0.4640829568311979
91,-0.10783791186345326,0.4633443943183414
92,-0.10855474867920717,0.4626275575025875
93,-0.10925049122451053,0.46193181495728414
94,-0.10992575305348035,0.4612565531283143
95,-0.1105811303219254,0.46060117585986926
96,-0.11121720225123755,0.4599651039305571
97,-0.11183453158199474,0.4593477745997999
98,-0.11243366501733887,0.4587486411644558
99,-0.11301513365620869,0.458167172525586
100,-0.11357945341652215,0.4576028527652725
101,-0.11412712544841447,0.4570551807333802
102,-0.11465863653764935,0.4565236696441453
103,-0.11517445949932842,0.45600784668246624
104,-0.11567505356203628,0.4555072526197584
105,-0.11616086474255993,0.45502144143923473
106,-0.11663232621133146,0.4545499799704632
107,-0.11708985864874588,0.4540924475330488
108,-0.11753387059251091,0.45364843558928375
109,-0.11796475877618723,0.45321754740560743
110,-0.11838290845908311,0.45279939772271155
111,-0.11878869374766687,0.4523936124341278
112,-0.1191824779086631,0.45199982827313157
113,-0.11956461367399901,0.45161769250779565
114,-0.11993544353776936,0.4512468626440253
115,-0.1202953000453858,0.45088700613640886
116,-0.12064450607507904,0.4505378001067156
117,-0.12098337511191903,0.45019893106987563
118,-0.12131221151452004,0.4498700946672746
119,-0.1216313107745936,0.44955099540720106
120,-0.12194095976951441,0.44924134641228025
121,-0.12224143700805801,0.44894086917373666
122,-0.12253301286947271,0.44864929331232195
123,-0.12281594983604155,0.4483663563457531
124,-0.123090502719291,0.44809180346250366
125,-0.12335691887999989,0.4478253873017948
126,-0.12361543844215966,0.447566867739635
127,-0.12386629450103526,0.4473160116807594
128,-0.12410971332547266,0.447072592856322
129,-0.12434591455459776,0.4468363916271969
130,-0.12457511138904753,0.44660719479274713
131,-0.12479751077687257,0.4463847954049221
132,-0.12501331359424744,0.4461689925875472
133,-0.1252227148211223,0.44595959136067237
134,-0.12542590371194673,0.44575640246984793
135,-0.12562306396159445,0.4455592422202002
136,-0.12581437386661415,0.4453679323151805
137,-0.1260000064819296,0.44518229969986506
138,-0.12618012977310988,0.4450021764086848
139,-0.12635490676432648,0.4448273994174682
140,-0.126524495682113,0.44465781049968167
141,-0.12668905009504045,0.4444932560867542
142,-0.12684871904941653,0.44433358713237814
143,-0.127003647201118,0.44417865898067665
144,-0.12715397494365976,0.4440283312381349
145,-0.12729983853260374,0.4438824676491909
146,-0.12744137020640706,0.4437409359753876
147,-0.12757869830380697,0.4436036078779877
148,-0.12771194737783859,0.4434703588039561
149,-0.1278412383065763,0.4433410678752184
150,-0.1279666884006917,0.44321561778110297
151,-0.12808841150791406,0.4430938946738806
152,-0.12820651811448075,0.4429757880673139
153,-0.1283211154436611,0.44286119073813357
154,-0.12843230755143442,0.44274999863036024
155,-0.1285401954194037,0.44264211076239096
156,-0.12864487704501992,0.44253742913677474
157,-0.12874644752919528,0.4424358586525994
158,-0.12884499916137576,0.4423373070204189
159,-0.12894062150214808,0.4422416846796466
160,-0.129033401463447,0.44214890471834767
161,-0.12912342338643407,0.4420588827953606
162,-0.12921076911711177,0.4419715370646829
163,-0.12929551807973833,0.44188678810205634
164,-0.12937774734810503,0.44180455883368963
165,-0.12945753171473756,0.4417247744670571
