n,replications,beta1_mean,beta1_sd,self_certificate_fire_prob,eta_10pct_wrong,eta_50pct_wrong,eta_90pct_wrong,transition_width_10_90
200,2200,0.5286116330929483,0.19224858623101168,0.8518181818181818,16.75,24.701923076923077,,
1000,1600,0.5299819772366544,0.08568238690070581,1.0,20.38157894736842,24.53125,31.166666666666668,10.785087719298247
5000,800,0.531117692712958,0.03804267886062116,1.0,22.4625,24.517857142857142,27.09090909090909,4.628409090909091
20000,400,0.528226171744716,0.01910706797043363,1.0,23.541666666666668,24.713541666666668,25.78125,2.239583333333332
