stale_steps_L,cumulative_strength_etaL,block_true_gain,block_end_reward,minimum_reward_inside_block,Hoeffding_m_per_distribution_for_95pct_positive_certificate,total_fresh_labels_for_block
1,3.0,0.04616695237707091,0.6173492585588656,0.5711823061817947,4112.0,8224.0
2,6.0,0.07402719969461335,0.645209505876408,0.5711823061817947,1600.0,3200.0
3,9.0,0.0830962448158522,0.6542785509976469,0.5711823061817947,1270.0,2540.0
4,12.0,0.07655114853517841,0.6477334547169731,0.5711823061817947,1496.0,2992.0
5,15.0,0.05933151561255923,0.6305138217943539,0.5711823061817947,2490.0,4980.0
6,18.0,0.03650547886543021,0.6076877850472249,0.5711823061817947,6577.0,13154.0
8,24.0,-0.011011814512052132,0.5601704916697425,0.5601704916697425,,
