target_max_log_ratio,representation,eta_required,actual_max_log_ratio,true_gain,proxy_gain,KL,chi2
1.0,proxy_only,4.085334976434909,1.0,0.05848528294677946,0.06857393817198099,0.13644202348728401,0.29221281877568267
1.0,medium_signature,3.738161705431888,0.9999999999999998,0.05556108915386948,0.06319898813231284,0.11516506789287195,0.24210782808660514
1.0,strong_signature,3.5779723027975,0.9999999999999998,0.05813940531286754,0.06164654702634642,0.10654502792741553,0.21772021723451568
2.0,proxy_only,9.949006908743925,2.0000000000000004,0.08249829263161379,0.14602560800955866,0.6675464364893074,2.0340365747768336
2.0,medium_signature,8.703330634665445,2.0,0.08688494301374272,0.13051272781980905,0.5257473012874203,1.4313142872955182
2.0,strong_signature,8.162729235657014,2.0,0.10413930964121554,0.12127525026209063,0.44841896341380605,1.0946744322784845
3.0,proxy_only,22.12174365543396,3.0,0.003261771725281526,0.23558353282505906,2.01844997533165,12.258874122321664
3.0,medium_signature,16.264179313276593,3.0000000000000004,0.06424599598023129,0.19855304579585065,1.3516389654472094,5.919813608276965
3.0,strong_signature,14.344467098733812,3.0,0.13169240404299265,0.17359937909179246,1.023948808060578,3.603451355945496
4.0,medium_signature,31.052039338552525,4.0,-0.02581334851573458,0.2541821742043243,2.580299545504965,19.422778012798602
4.0,strong_signature,23.114623253880644,4.0,0.14821578500569976,0.21697914579583133,1.8185051031200394,11.737620653693112
5.0,medium_signature,62.77667503680321,4.999999999999999,-0.08788850758736827,0.2752172655241798,3.4503610512630294,39.30093754675751
5.0,strong_signature,36.675049421130694,4.999999999999998,0.17794109917216872,0.25464994875115665,2.920287745372254,47.918614580019394
6.0,medium_signature,109.22849775604669,5.999999999999998,-0.09075920322175518,0.28067053362563865,3.899352513034109,72.73618715643981
6.0,strong_signature,66.17836672773365,6.0,0.255741483539657,0.29365819769739243,4.8287612413836785,266.1239856073409
7.0,medium_signature,167.6288759823721,7.000000000000003,-0.07903369762161189,0.2847040933689944,4.45235622846932,168.10712399453897
8.0,medium_signature,243.8561204963259,7.999999999999998,-0.05850489017664118,0.2886452132054734,5.254911613318693,489.5676954578504
