lambda_stale,true_gain,V_current,V_balanced,V_candidate,h_current,h_balanced,h_candidate
0.05,0.0008964677613106931,4.486199526108869e-05,4.488756803779303e-05,4.491570084041276e-05,55.822493640994296,55.85431425344483,55.889320346825286
0.1,0.0017892545991592401,0.0001792406212691056,0.00017943682535739557,0.00017967397762138872,55.987639317361975,56.0489256689155,56.123002601508865
0.15000000000000002,0.00267832231279852,0.00040283327239390665,0.0004034671965285596,0.00040430835735463946,56.15645129728279,56.244822671331065,56.36208360829941
0.2,0.003563633086278939,0.000715348628925655,0.0007167842981755368,0.0007188747325034032,56.328966646534326,56.44201609126941,56.60662394927006
0.25,0.0044451494919703904,0.0011165067055939758,0.001119180026270857,0.0011234513821551974,56.50522305825098,56.64051698922029,56.8566857912495
0.3,0.005322834493965645,0.0016060388975013753,0.001610432649583284,0.0016181390016780234,56.68525886336318,56.840336660377886,57.11233291405651
0.35000000000000003,0.0061966514513729365,0.0021836880234787533,0.002190306909231223,0.002203060740874391,56.86911304107517,57.041486639325484,57.37363073940931
0.4,0.007066564121493535,0.002849208366871359,0.002858554124287075,0.0028783622506516407,57.05682522957354,57.24397870480078,57.64064636071861
0.45,0.007932536662884848,0.0036023657137640042,0.0036149123033722332,0.0036442117382311677,57.248435736925316,57.44782488449573,57.91344857374002
0.5,0.008794533638311397,0.004442937388654863,0.004459106262176698,0.004500800030923318,57.44398555213833,57.65303745985919,58.19210790807457
0.55,0.009652520017583988,0.0053707122875875654,0.00539084774683148,0.005448340648498836,57.64351635640178,57.859628970915274,58.47669665955287
0.6000000000000001,0.010506461180284421,0.006385490908751707,0.006409835563056275,0.006487069884191961,57.84707053454926,58.06761222113524,58.767288923563974
0.6500000000000001,0.011356322918380402,0.007487085380562286,0.007515755710999225,0.0076172468943744446,58.05469118668997,58.277000282303874,59.06396062929241
0.7000000000000001,0.012202071438728646,0.008675319487228907,0.00870828152567991,0.008839153796943989,58.2664221400495,58.487806499416315,59.366789574924425
0.7500000000000001,0.013043673365467079,0.009950028691825909,0.009987073822941171,0.010153095778474798,58.482307961016666,58.700044495597595,59.675855463839746
0.8,0.013881095742298677,0.011311060156874789,0.01135178105080985,0.011559401210182334,58.702393967383315,58.91372817702653,59.99123994179659
0.8500000000000001,0.014714306034664948,0.01275827276245074,0.012802039446161075,0.013058421772758445,58.9267262408084,59.128871737889895,60.31302663516164
0.9000000000000001,0.015543272131811281,0.014291537121825073,0.014337473196575412,0.0146505325901376,59.155351639494064,59.345489665350264,60.64130119019574
0.9500000000000001,0.016367962348745935,0.015910735594655806,0.01595769460727303,0.016336132372259247,59.388317811072625,59.56359674452071,60.97615131341585
1.0,0.01718834542809078,0.017615762297738514,0.017662304273003557,0.018115643566895462,59.62567320572943,59.7832080634664,61.31766681308208
1.05,0.018004390541828452,0.019406523113330243,0.019450891254766033,0.019989512520618147,59.86746708953853,60.00433901820496,61.66593964181061
1.1,0.018816067292942606,0.02128293569505864,0.021323033261227337,0.021958209648983592,60.11374955804579,60.227005317734616,62.02106394037232
1.1500000000000001,0.019623345716955676,0.02324492947142935,0.023278296834704015,0.024022229616017705,60.364571550079496,60.45122298906564,62.383136082682725
1.2000000000000002,0.020426196283363396,0.025292445646944356,0.02531623754156674,0.026182091523089007,60.61998486180612,60.67700838226654,62.752254722027104
1.2500000000000002,0.021224589896968293,0.02742543720084401,0.02743640016692292,0.028438339107261627,60.88004216102811,60.90437817551737,63.12852083854551
1.3,0.02201849789911181,0.029643868883485844,0.029638318913428288,0.03079154094922494,61.144797001737906,61.133349380178494,63.51203778801986
1.35,0.0228078920688064,0.031947717210372914,0.03192151760407452,0.03324229069090147,61.41430383893056,61.363939345872275,63.90291135199532
1.4000000000000001,0.02359274462377081,0.03433697045384469,0.03428550988879567,0.03579120726283886,61.688618043669095,61.596165765565885,64.30124978925865
1.4500000000000002,0.024373028221367332,0.03681162863244347,0.03672979945473291,0.03843893512149776,61.96779591842182,61.83004668066951,64.70716388872577
1.5000000000000002,0.025148715959442125,0.03937170349796904,0.039253880239993294,0.0411861444965509,62.25189471267609,62.06560048614894,65.12076702377402
1.55,0.025919781377072515,0.042017218520234545,0.04185723665073491,0.0440335316483148,62.54097263882073,62.302845935639134,65.54217520804444
1.6,0.02668619845521869,0.04474820886953658,0.0445393437814082,0.04698181913544025,62.83508888832246,62.54180214657873,65.97150715277444
1.6500000000000001,0.02744794161728592,0.047564721396851674,0.047299667637979534,0.05003175609299208,63.13430364817734,62.78248860534116,66.40888432567557
1.7000000000000002,0.028204985729591958,0.05046681461177252,0.0501376653639617,0.053184118521055805,63.438678117676176,63.024925172395676,66.85443101143447
1.7500000000000002,0.02895730610174896,0.05345455865819586,0.05305278546907211,0.056439709584011254,63.74827452545087,63.26913208745977,67.3082743738381
1.8,0.029704878486953246,0.05652803528777495,0.056044468060339074,0.05979935992062176,64.06315614684593,63.51512997468173,67.7705445196099
1.85,0.030447679082191148,0.05968733783114877,0.05911214507547331,0.06326392796509031,64.38338732158975,63.76293984782256,68.24137456396872
1.9000000000000001,0.031185684528357016,0.06293257116695998,0.062255240518320605,0.0668343002792409,64.70903347179562,64.01258311546107,68.72090069798354
1.9500000000000002,0.031918871910288193,0.06626385168867417,0.06547317069621081,0.07051139189598912,65.04016112028425,64.26408158620922,69.2092622577581
2.0,0.03264721875671628,0.06968130726921201,0.0687653444590165,0.07429614667427097,65.37683790924349,64.51745747394696,69.70660179550505
2.05,0.03337070304013834,0.07318507722340628,0.072131163439734,0.07818953766560476,65.71913261922276,64.77273340306898,70.21306515255225
2.1,0.03408930317660652,0.07677531226829509,0.07557002229639906,0.082192567492468,66.0671151884812,65.02993241375663,70.72880153434882
2.15,0.034802998025439735,0.08045217448126357,0.07908130895514942,0.0863062687386756,66.4208567326883,65.28907796726767,71.25396358751635
2.1999999999999997,0.035511766888858154,0.08421583725604438,0.08266440485424585,0.0905317043519531,66.78042956498628,65.55019395124833,71.78870747900623
2.25,0.036215589511542134,0.08806648525658943,0.08631868518886396,0.09486996805890374,67.14590721642236,65.81330468506869,72.3331929774212
2.3,0.0369144460801164,0.09200431436882228,0.0900435191564696,0.09932218479257658,67.51736445675968,66.07843492518603,72.88758353656615
2.35,0.03760831722256197,0.09602953165028408,0.09383827020259138,0.10388951113284615,67.89487731567243,66.34560987053418,73.45204638128534
2.4,0.03829718400755622,0.1001423552776819,0.09770229626680457,0.10857313575982372,68.27852310433587,66.61485516794512,74.02675259565675
