design,failure_difference,failure_lo,failure_hi,gain_difference,gain_lo,gain_hi
early,0.027777777777777776,0.0027777777777777783,0.056979166666666636,0.017445317640019557,-0.012785412316360621,0.056925272597531544
geometry_10,0.019444444444444445,-0.005555555555555556,0.049999999999999996,-0.0018224102158275275,-0.029000069378518824,0.02660128627550197
kl_05,0.01388888888888889,-0.008333333333333333,0.03611111111111111,0.0013036856905544452,-0.024740524431251177,0.029030911492094726
late,0.011111111111111112,-0.013888888888888888,0.03475694444444442,-0.0034034163025908303,-0.025696860079279463,0.022099680396344086
uniform,0.015277777777777777,-0.01388888888888889,0.049999999999999996,0.013559036261571457,-0.013929084343272514,0.050731659347558904
