acquisition,design,cohort,pairs,tasks,mean_deadline_events,failure,failure_difference,failure_lo,failure_hi,gain,gain_difference,gain_lo,gain_hi
policy,early,all,480,8,0.0,0.058333333333333334,-0.016666666666666666,-0.04791666666666667,0.010416666666666668,0.40404196368877016,0.03424143155053968,-0.001165767816996719,0.07195546513285274
policy,early,initially_safe_posthoc,469,8,0.0,0.03770242914979757,-0.01826079622132254,-0.05368589743589744,0.011074561403508772,0.4130876161173772,0.03004104626587749,-0.006649938441503245,0.06591280049203849
policy,geometry_10,all,480,8,0.8604166666666667,0.056249999999999994,-0.01875,-0.04791666666666667,0.00625,0.3962973666704297,0.026496834532199216,-0.005260022611467614,0.06850448628545952
policy,geometry_10,initially_safe_posthoc,469,8,0.8805970149253731,0.035509446693657215,-0.02045377867746289,-0.05368589743589744,0.00668859649122807,0.405672730743562,0.02262616089206231,-0.009243174133740062,0.06221627420410534
policy,kl_05,all,480,8,1.0875,0.05,-0.025,-0.052083333333333336,-0.004166666666666667,0.37115190977532997,0.001351377637099509,-0.01773935514920248,0.02357090397029675
policy,kl_05,initially_safe_posthoc,469,8,1.0874200426439233,0.028930499325236166,-0.027032726045883942,-0.0559885290148448,-0.004166666666666667,0.3814500533995854,-0.0015965164519143107,-0.021481290199301346,0.020527291005322083
policy,late,all,480,8,0.0,0.07708333333333332,0.0020833333333333333,-0.00625,0.0125,0.3334277485309873,-0.036372783607243254,-0.056406459266204315,-0.019062811362494814
policy,late,initially_safe_posthoc,469,8,0.0,0.05857793522267206,0.0026147098515519576,-0.006578947368421052,0.014423076923076924,0.3450398262576557,-0.03800674359384394,-0.059907548926401946,-0.019231493832110765
policy,uniform,all,480,8,0.0,0.075,0.0,0.0,0.0,0.3698005321382305,0.0,0.0,0.0
policy,uniform,initially_safe_posthoc,469,8,0.0,0.055963225371120105,0.0,0.0,0.0,0.3830465698514997,0.0,0.0,0.0
stream,early,all,480,8,0.0,0.07708333333333334,-0.010416666666666666,-0.029166666666666667,0.00625,0.389626853377391,0.0405263169988882,0.014801661336776163,0.08106443915606804
stream,early,initially_safe_posthoc,469,8,0.0,0.058797233468286095,-0.011479419703103913,-0.033012820512820513,0.006907894736842104,0.39644431074755937,0.03585159784869728,0.014599017560862177,0.0672955461250078
stream,geometry_10,all,480,8,0.8208333333333333,0.07291666666666666,-0.014583333333333334,-0.0375,0.00625,0.3737648102496416,0.024664273871138793,-0.004492685626619044,0.06972924605537974
stream,geometry_10,initially_safe_posthoc,469,8,0.8400852878464818,0.05463056680161943,-0.015646086369770582,-0.04006410256410256,0.00668859649122807,0.3802455538918811,0.01965284099301898,-0.005270455090913159,0.055848568747425414
stream,kl_05,all,480,8,1.0666666666666667,0.06458333333333333,-0.022916666666666665,-0.06046875,0.008333333333333335,0.35142836863820226,0.002327832259699414,-0.02035315197988283,0.03064051886267278
stream,kl_05,initially_safe_posthoc,469,8,1.0660980810234542,0.04512483130904184,-0.025151821862348177,-0.06810897435897437,0.008991228070175439,0.3623549027440791,0.0017621898452170187,-0.021068233526287724,0.030411416983065775
stream,late,all,480,8,0.0,0.07708333333333332,-0.010416666666666668,-0.025,0.0020833333333333333,0.3224720492591051,-0.026628487119397685,-0.044968951484527585,-0.01155668843622496
stream,late,initially_safe_posthoc,469,8,0.0,0.05878879892037786,-0.011487854251012146,-0.027884615384615386,0.001973684210526316,0.3333474345873816,-0.02724527831148052,-0.04585669453977674,-0.011859395933121963
stream,uniform,all,480,8,0.0,0.08750000000000001,0.0,0.0,0.0,0.3491005363785028,0.0,0.0,0.0
stream,uniform,initially_safe_posthoc,469,8,0.0,0.07027665317139002,0.0,0.0,0.0,0.3605927128988621,0.0,0.0,0.0
