training_cost_ceiling,budget_cap,paired_cells,failure_difference,failure_difference_lo,failure_difference_hi,gain_difference,gain_difference_lo,gain_difference_hi,cost_difference,cost_difference_lo,cost_difference_hi,adaptive_mean_cost,fixed_mean_cost,cost_violation_fraction
,32,144,-0.008333333333333333,-0.03194444444444445,0.005555555555555556,-0.03573845738622395,-0.12159627685021432,0.01480483203336336,-4.733333333333333,-7.801388888888891,-1.7441666666666666,19.87777777777778,24.61111111111111,0.0
,96,144,-0.011111111111111108,-0.030555555555555548,0.0,-0.04184134473511813,-0.13525046529919532,0.011303554511141177,-36.97777777777778,-46.50138888888889,-27.06194444444445,33.41111111111111,70.38888888888889,0.0
16.0,32,144,-0.006944444444444445,-0.01666666666666667,-0.001388888888888889,0.019223884226151757,0.0042996918162672565,0.039746525649281425,6.622222222222223,4.633333333333334,8.888888888888888,14.622222222222222,8.0,0.3125
16.0,96,115,-0.007575757575757576,-0.022727272727272724,0.0,0.010383856955130647,0.0015223120910208476,0.0216826767536195,6.300471380471381,4.566962962962963,8.194148148148148,14.358260869565218,8.0,0.23478260869565218
24.0,32,144,-0.018055555555555554,-0.049999999999999996,-0.001388888888888889,-0.010974519231531242,-0.07418630038804931,0.031404436537333325,2.2,-0.7577777777777777,5.11111111111111,18.866666666666667,16.666666666666668,0.2569444444444444
24.0,96,144,-0.027777777777777776,-0.07083333333333333,-0.002777777777777778,-0.01263589286424094,-0.07760996861032331,0.034090195604938,2.111111111111111,-1.8674999999999995,5.889722222222221,18.77777777777778,16.666666666666668,0.1736111111111111
32.0,32,144,-0.008333333333333333,-0.03194444444444445,0.005555555555555556,-0.03573845738622395,-0.12159627685021432,0.01480483203336336,-4.733333333333333,-7.801388888888891,-1.7441666666666666,19.87777777777778,24.61111111111111,0.0
32.0,96,144,-0.02361111111111111,-0.06111111111111111,-0.002777777777777778,-0.009432458168247846,-0.07559172352211158,0.03721871780284857,4.344444444444444,0.7327777777777779,7.7672222222222205,21.01111111111111,16.666666666666668,0.1388888888888889
48.0,32,144,-0.008333333333333333,-0.03194444444444445,0.005555555555555556,-0.03573845738622395,-0.12159627685021432,0.01480483203336336,-4.733333333333333,-7.801388888888891,-1.7441666666666666,19.87777777777778,24.61111111111111,0.0
48.0,96,144,-0.011111111111111112,-0.03194444444444444,0.0,-0.024332276310847615,-0.10270959679984827,0.02684921247023477,-3.0555555555555554,-9.591666666666667,3.722222222222222,29.333333333333332,32.388888888888886,0.11805555555555555
64.0,32,144,-0.008333333333333333,-0.03194444444444445,0.005555555555555556,-0.03573845738622395,-0.12159627685021432,0.01480483203336336,-4.733333333333333,-7.801388888888891,-1.7441666666666666,19.87777777777778,24.61111111111111,0.0
64.0,96,144,-0.018055555555555554,-0.04305555555555555,-0.001388888888888889,-0.016682420329644933,-0.09293672592776513,0.033106828863282096,1.0222222222222221,-7.77,10.036111111111108,33.41111111111111,32.388888888888886,0.16666666666666666
96.0,32,144,-0.008333333333333333,-0.03194444444444445,0.005555555555555556,-0.03573845738622395,-0.12159627685021432,0.01480483203336336,-4.733333333333333,-7.801388888888891,-1.7441666666666666,19.87777777777778,24.61111111111111,0.0
96.0,96,144,-0.011111111111111108,-0.030555555555555548,0.0,-0.04184134473511813,-0.13525046529919532,0.011303554511141177,-36.97777777777778,-46.50138888888889,-27.06194444444445,33.41111111111111,70.38888888888889,0.0
