stale_cadence,comparisons,fresh_failure,stale_failure,fresh_pair_rate,stale_pair_rate,fresh_safe_stale_fails,fresh_fails_stale_safe,fresh_draws,stale_draws,failure_difference,failure_lo,failure_hi,gain_difference,gain_lo,gain_hi,cost_difference,cost_lo,cost_hi
2,689,0.041243347847121435,0.053705479530951235,0.03773584905660377,0.04934687953555878,9,1,96.0,48.0,0.012462131683829798,0.001572327044025157,0.029960893404289632,-0.01040280664596207,-0.022377154379492295,-0.002012251374151722,-48.0,-48.0,-48.0
4,689,0.041243347847121435,0.06653448752505356,0.03773584905660377,0.06095791001451379,16,0,96.0,24.0,0.02529113967793213,0.002976190476190476,0.06363172990531481,-0.027729834140700158,-0.05470663050989516,-0.006846910908367557,-72.0,-72.0,-72.0
12,689,0.041243347847121435,0.05241378118736609,0.03773584905660377,0.047895500725689405,16,9,96.0,8.0,0.01117043334024466,-0.02532569631626236,0.05586080586080586,-0.10222469605102512,-0.21760348302910937,-0.020313209667970757,-88.0,-88.0,-88.0
