design,certified_nonnegative,certified_negative,ambiguous,interval_width,audited_sources,runs
early,0.6942708333333333,0.0020833333333333333,0.30364583333333334,0.2431654043304601,11.065104166666666,160
late,0.30052083333333335,0.003125,0.6963541666666667,0.5347412362431524,7.269270833333334,160
uniform,0.5473958333333333,0.008333333333333333,0.44427083333333334,0.36672961495093237,8.9328125,160
