design,failure_difference,failure_lo,failure_hi,gain_difference,gain_lo,gain_hi
early,-0.004166666666666666,-0.075,0.06458333333333333,0.00866923880222716,-0.027913526437248266,0.05111455057359079
geometry_10,-0.029166666666666667,-0.10833333333333332,0.045885416666666616,0.012883882967607637,-0.010155765460396794,0.039425048656899234
kl_05,-0.029166666666666667,-0.1,0.03755208333333329,0.012624269668278485,-0.010758547505306542,0.04004796449966878
late,-0.029166666666666667,-0.08338541666666667,0.02713541666666662,0.004312020932591897,-0.00924256117347687,0.021788011643882933
uniform,-0.0020833333333333346,-0.05625,0.05833333333333333,0.004847309599255182,-0.020512938113177254,0.03178162341116381
