acquisition,design,cohort,pairs,tasks,mean_deadline_events,failure,failure_difference,failure_lo,failure_hi,gain,gain_difference,gain_lo,gain_hi
policy,early,all,480,8,0.0,0.19791666666666669,0.008333333333333337,-0.01875,0.04166666666666667,0.11181310707455046,0.013587801710095335,-0.011355804230142897,0.04364139513036854
policy,early,initially_safe_posthoc,448,8,0.0,0.15023836700365595,0.006395859437130613,-0.022972379500580717,0.041563288477712367,0.11692420321546342,0.009263476492988889,-0.011877805889535957,0.033095677192819195
policy,geometry_10,all,480,8,1.0083333333333333,0.17083333333333334,-0.01875,-0.05,0.00625,0.09889711587203902,0.000671810507583909,-0.021545148554514983,0.02475196797433319
policy,geometry_10,initially_safe_posthoc,448,8,1.0803571428571428,0.12099692904916383,-0.022845578517361527,-0.060814822880371655,0.006537356321839081,0.10211538434881522,-0.005545342373659307,-0.022774711865637107,0.010472788792841291
policy,kl_05,all,480,8,1.4708333333333334,0.15833333333333333,-0.03125,-0.05625,-0.010416666666666666,0.09325514545263092,-0.004970159911824209,-0.02318073699113473,0.013838434500603763
policy,kl_05,initially_safe_posthoc,448,8,1.53125,0.10592459649965957,-0.03791791106686577,-0.06928094408495106,-0.010416666666666666,0.09535780191034059,-0.01230292481213394,-0.024950907663159383,-0.001451191046782578
policy,late,all,480,8,0.0,0.16249999999999998,-0.027083333333333334,-0.04791666666666666,-0.010416666666666668,0.07728810599668887,-0.020937199367766238,-0.0345862299351977,-0.00945505593615673
policy,late,initially_safe_posthoc,448,8,0.0,0.11496684460159169,-0.02887566296493366,-0.05007336061001356,-0.012305795793927338,0.08304199593736553,-0.024618730785108987,-0.04244267896258616,-0.009996119134844555
policy,uniform,all,480,8,0.0,0.18958333333333333,0.0,0.0,0.0,0.09822530536445512,0.0,0.0,0.0
policy,uniform,initially_safe_posthoc,448,8,0.0,0.14384250756652533,0.0,0.0,0.0,0.10766072672247452,0.0,0.0,0.0
stream,early,all,480,8,0.0,0.20208333333333334,0.010416666666666664,-0.035416666666666666,0.06458333333333333,0.1031438682723233,0.009765872507123357,-0.012139410459605036,0.028074647005318077
stream,early,initially_safe_posthoc,448,8,0.0,0.16100632641618465,0.008328935022284777,-0.043835034013605445,0.06673850574712645,0.10399472958332262,0.003962616021290577,-0.015205240341828172,0.018506939730200015
stream,geometry_10,all,480,8,1.0,0.2,0.008333333333333331,-0.037500000000000006,0.0625,0.08601323290443139,-0.00736476286076855,-0.029630221661338538,0.014813836020109083
stream,geometry_10,initially_safe_posthoc,448,8,1.0714285714285714,0.15892299308285132,0.0062456016889514444,-0.04591836734693877,0.06465517241379311,0.08677909320137683,-0.013253020360655206,-0.03161771621545992,0.003883920069654648
stream,kl_05,all,480,8,1.4708333333333334,0.1875,-0.004166666666666666,-0.04166666666666667,0.03333333333333334,0.08063087578435243,-0.012747119980847512,-0.03174201070645169,0.005930521373883917
stream,kl_05,initially_safe_posthoc,448,8,1.5357142857142858,0.14420474245206916,-0.008472648941830729,-0.052015928322548526,0.03269554247266611,0.08150674017400354,-0.018525373388028503,-0.03410836717628645,-0.005128360336792769
stream,late,all,480,8,0.0,0.19166666666666665,0.0,-0.008333333333333333,0.010416666666666668,0.07297608506409699,-0.02040191070110295,-0.036432096499118764,-0.007118198290076844
stream,late,initially_safe_posthoc,448,8,0.0,0.15257547930862841,-0.00010191208527145137,-0.011301513877207736,0.013150950035186487,0.07818700671785059,-0.02184510684418146,-0.03825525126556199,-0.00809374057071332
stream,uniform,all,480,8,0.0,0.19166666666666668,0.0,0.0,0.0,0.09337799576519995,0.0,0.0,0.0
stream,uniform,initially_safe_posthoc,448,8,0.0,0.15267739139389985,0.0,0.0,0.0,0.10003211356203204,0.0,0.0,0.0
