bank,task_id,design,failure_difference,gain_difference
transfer_v1_seed24_exact,bucket,early,0.0,-0.005272985413640851
transfer_v1_seed24_exact,bucket,geometry_10,0.0,-0.005272985413640851
transfer_v1_seed24_exact,bucket,geometry_100,0.0,-0.006883886339113234
transfer_v1_seed24_exact,bucket,kl_01,0.016666666666666666,-0.014817406280388384
transfer_v1_seed24_exact,bucket,kl_05,0.0,-0.014843802202246
transfer_v1_seed24_exact,bucket,late,0.0,-0.005723379674192217
transfer_v1_seed24_exact,bucket,maxlog_05,0.0,-0.015876629565100785
transfer_v1_seed24_exact,bucket,maxlog_15,0.0,-0.015607272065004518
transfer_v1_seed24_exact,bucket,uniform,0.0,0.0
transfer_v1_seed24_exact,digits,early,0.0,0.012419375839467985
transfer_v1_seed24_exact,digits,geometry_10,0.0,-0.03432568877970365
transfer_v1_seed24_exact,digits,geometry_100,0.0,-0.03432568877970365
transfer_v1_seed24_exact,digits,kl_01,0.0,-0.03422782542624795
transfer_v1_seed24_exact,digits,kl_05,0.0,-0.03424363978443894
transfer_v1_seed24_exact,digits,late,0.0,-0.034241931124478785
transfer_v1_seed24_exact,digits,maxlog_05,0.0,-0.034382466138242904
transfer_v1_seed24_exact,digits,maxlog_15,0.0,-0.03421436533777979
transfer_v1_seed24_exact,digits,uniform,0.0,0.0
transfer_v1_seed24_exact,divisor_code,early,-0.06666666666666667,0.004275992243349941
transfer_v1_seed24_exact,divisor_code,geometry_10,-0.06666666666666667,0.004275992243349941
transfer_v1_seed24_exact,divisor_code,geometry_100,0.03333333333333333,-0.04309152985247808
transfer_v1_seed24_exact,divisor_code,kl_01,-0.03333333333333333,0.004799689131949083
transfer_v1_seed24_exact,divisor_code,kl_05,-0.03333333333333333,0.005883001452226583
transfer_v1_seed24_exact,divisor_code,late,0.03333333333333333,-0.04318465928486004
transfer_v1_seed24_exact,divisor_code,maxlog_05,-0.06666666666666667,0.005889948387437666
transfer_v1_seed24_exact,divisor_code,maxlog_15,-0.03333333333333333,0.010562736900337285
transfer_v1_seed24_exact,divisor_code,uniform,0.0,0.0
transfer_v1_seed24_exact,fold,early,0.0,0.0011931315799105493
transfer_v1_seed24_exact,fold,geometry_10,0.0,0.0011931315799105493
transfer_v1_seed24_exact,fold,geometry_100,0.0,-0.0026404466196153133
transfer_v1_seed24_exact,fold,kl_01,0.0,0.0008500445510209
transfer_v1_seed24_exact,fold,kl_05,0.0,-0.000379965747240132
transfer_v1_seed24_exact,fold,late,0.0,-0.002638502253250347
transfer_v1_seed24_exact,fold,maxlog_05,0.0,-0.0009774247670350663
transfer_v1_seed24_exact,fold,maxlog_15,0.0,-0.003658369636401598
transfer_v1_seed24_exact,fold,uniform,0.0,0.0
transfer_v1_seed24_exact,nearest,early,-0.11666666666666667,0.0714580192459915
transfer_v1_seed24_exact,nearest,geometry_10,-0.11666666666666667,0.06717914432393002
transfer_v1_seed24_exact,nearest,geometry_100,0.05,-0.055713320839832735
transfer_v1_seed24_exact,nearest,kl_01,-0.11666666666666667,0.055418671013609595
transfer_v1_seed24_exact,nearest,kl_05,-0.13333333333333333,0.04162626850758532
transfer_v1_seed24_exact,nearest,late,0.03333333333333333,-0.06199378351043901
transfer_v1_seed24_exact,nearest,maxlog_05,-0.13333333333333333,0.06335925547216656
transfer_v1_seed24_exact,nearest,maxlog_15,-0.13333333333333333,0.05140329805329697
transfer_v1_seed24_exact,nearest,uniform,0.0,0.0
transfer_v1_seed24_exact,round4,early,-0.016666666666666666,-0.0057606207671414295
transfer_v1_seed24_exact,round4,geometry_10,-0.016666666666666666,-0.0055606795877927604
transfer_v1_seed24_exact,round4,geometry_100,-0.016666666666666666,-0.0055606795877927604
transfer_v1_seed24_exact,round4,kl_01,-0.016666666666666666,-0.005903181334556226
transfer_v1_seed24_exact,round4,kl_05,-0.016666666666666666,-0.006971748858080993
transfer_v1_seed24_exact,round4,late,0.05,-0.01290488317624086
transfer_v1_seed24_exact,round4,maxlog_05,-0.016666666666666666,-0.0056758969922177435
transfer_v1_seed24_exact,round4,maxlog_15,-0.06666666666666667,-0.0011038691806240927
transfer_v1_seed24_exact,round4,uniform,0.0,0.0
transfer_v1_seed24_exact,saturating_square,early,0.0,0.0
transfer_v1_seed24_exact,saturating_square,geometry_10,0.0,0.0
transfer_v1_seed24_exact,saturating_square,geometry_100,0.0,0.0
transfer_v1_seed24_exact,saturating_square,kl_01,0.0,0.0
transfer_v1_seed24_exact,saturating_square,kl_05,0.0,0.0
transfer_v1_seed24_exact,saturating_square,late,0.0,0.0
transfer_v1_seed24_exact,saturating_square,maxlog_05,0.0,0.0
transfer_v1_seed24_exact,saturating_square,maxlog_15,0.0,0.0
transfer_v1_seed24_exact,saturating_square,uniform,0.0,0.0
transfer_v1_seed24_exact,signed_remainder,early,0.0,0.0009323577525105845
transfer_v1_seed24_exact,signed_remainder,geometry_10,0.0,0.0009323577525105845
transfer_v1_seed24_exact,signed_remainder,geometry_100,0.0,-0.0011325177294848165
transfer_v1_seed24_exact,signed_remainder,kl_01,0.0,-0.001173265888174565
transfer_v1_seed24_exact,signed_remainder,kl_05,0.0,-0.0011325179187946497
transfer_v1_seed24_exact,signed_remainder,late,0.0,-0.0011325179187946497
transfer_v1_seed24_exact,signed_remainder,maxlog_05,0.0,-0.0011325179187946497
transfer_v1_seed24_exact,signed_remainder,maxlog_15,0.0,-0.0011325179187946497
transfer_v1_seed24_exact,signed_remainder,uniform,0.0,0.0
