design,cohort,pairs,tasks,paid_draws,unique_labels,deadline_events,failure_difference,failure_lo,failure_hi,failure_task_mean,gain_difference,gain_lo,gain_hi,gain_task_mean,unique_difference,unique_lo,unique_hi,unique_task_mean
early,all,720,12,32.0,12.172222222222222,0.0,-0.005555555555555556,-0.012499999999999999,0.0,0.09027777777777779,0.01068106941210626,0.0019224430602122746,0.02305914288726418,0.37114112930078397,1.136111111111111,0.9486111111111114,1.3097569444444446,12.172222222222222
early,initially_safe_posthoc,689,12,32.0,12.229317851959362,0.0,-0.006021638215034441,-0.013699835280023958,0.0,0.05394939180316539,0.0015952744373376978,-0.007433256049206153,0.011659288059065524,0.3768792147919158,1.1438332239039786,0.9444059065934067,1.3399127264899668,12.218058507268411
geometry_10,all,720,12,32.0,11.625,1.4041666666666666,-0.005555555555555556,-0.012499999999999999,0.0,0.09027777777777779,-0.006017795106809016,-0.03434529580661987,0.01583289467131369,0.35444226478186863,0.588888888888889,0.2027777777777778,0.9487152777777778,11.625
geometry_10,initially_safe_posthoc,689,12,32.0,11.65457184325109,1.4441219158200291,-0.006021638215034441,-0.013699835280023958,0.0,0.05394939180316539,-0.014253545112334702,-0.038513864761759414,0.0018794031239335568,0.36103039524224334,0.5681387794595342,0.19636616789918673,0.9324321681986776,11.642364062823967
geometry_100,all,720,12,32.0,10.98611111111111,2.2625,0.001388888888888889,-0.009722222222222222,0.015277777777777779,0.09722222222222222,-0.01897397441924278,-0.047550024952759326,0.006152617973908797,0.3414860854694349,-0.04999999999999998,-0.3930902777777777,0.31670138888888894,10.986111111111109
geometry_100,initially_safe_posthoc,689,12,32.0,11.010159651669087,2.3033381712626997,0.0018767134333172073,-0.010455974842767295,0.017841880341880344,0.06184774345151703,-0.02547450421812385,-0.05250148772022609,-0.0010038894558773112,0.34980943613645415,-0.09917762400073715,-0.4646974656305434,0.2992001344109245,10.975047659363698
kl_01,all,720,12,32.0,12.091666666666667,1.2555555555555555,-0.011111111111111112,-0.02638888888888889,-0.001388888888888889,0.08472222222222224,-0.013174954968679814,-0.040167411647802145,0.004709493665194356,0.34728510491999787,1.0555555555555556,0.8666666666666667,1.2375694444444443,12.091666666666669
kl_01,initially_safe_posthoc,689,12,32.0,12.13933236574746,1.2641509433962264,-0.012341183449674017,-0.029455441374663074,-0.0016025641025641027,0.04762984656852582,-0.021538341189931424,-0.047326578746739456,-0.004164371595419045,0.3537455991646466,1.0526828190153663,0.8582677045177046,1.2349770936283317,12.1269081023798
kl_05,all,720,12,32.0,11.676388888888889,1.9861111111111112,-0.013888888888888888,-0.030555555555555555,-0.002777777777777778,0.08194444444444444,-0.017874302935522817,-0.0427561148072813,-0.0003703058852697622,0.3425857569531548,0.6402777777777778,0.4151041666666668,0.8737152777777776,11.676388888888889
kl_05,initially_safe_posthoc,689,12,32.0,11.712626995645863,2.0029027576197387,-0.01554631165480222,-0.03451142672840786,-0.002777777777777778,0.04442471836339761,-0.02300603858052412,-0.04798518191199683,-0.005720457660953502,0.3522779017740538,0.6307755661529247,0.404159416971917,0.8645164878360632,11.70500084951736
late,all,720,12,32.0,10.626388888888888,0.0,2.8912057932946783e-19,-0.009722222222222222,0.011111111111111113,0.09583333333333333,-0.03588139272225099,-0.06310433656380836,-0.012804850962549276,0.3245786671664267,-0.40972222222222215,-0.6584375,-0.1638888888888889,10.626388888888888
late,initially_safe_posthoc,689,12,32.0,10.683599419448477,0.0,0.00027414933075310476,-0.010555555555555554,0.013034188034188035,0.06024517934895293,-0.035602607680969796,-0.0656232718660383,-0.011004626802732185,0.33968133267360817,-0.4278329964061096,-0.70200972409404,-0.1627907401168014,10.646392286958324
maxlog_05,all,720,12,32.0,11.973611111111111,1.6527777777777777,-0.008333333333333333,-0.020833333333333332,0.0,0.08750000000000001,-0.015998976195581206,-0.04247037226639277,0.00317654614434119,0.3444610836930965,0.9375,0.6984374999999999,1.1625694444444443,11.973611111111111
maxlog_05,initially_safe_posthoc,689,12,32.0,12.014513788098693,1.6661828737300435,-0.009166292303084756,-0.0231337975441749,0.0,0.050804737715115074,-0.022354635716716312,-0.04799670990995314,-0.0036222585571741984,0.3529293046378617,0.9329513384937913,0.6900494123931624,1.161854867158523,12.007176621858228
maxlog_15,all,720,12,32.0,11.251388888888888,2.5555555555555554,-0.011111111111111112,-0.029166666666666664,0.0,0.08472222222222224,-0.01974810420867864,-0.046727800906112144,0.0006626692902351773,0.34071195567999896,0.21527777777777776,0.019374999999999996,0.4361111111111111,11.251388888888888
maxlog_15,initially_safe_posthoc,689,12,32.0,11.27866473149492,2.5849056603773586,-0.01231094639113507,-0.032567759808325845,0.0,0.04766008362706476,-0.02520433748355524,-0.052035678696466185,-0.0038926992650484805,0.35007960287102274,0.18627223143732577,-0.006778083028083025,0.41359805878084166,11.260497514801761
uniform,all,720,12,32.0,11.036111111111111,0.0,0.0,0.0,0.0,0.09583333333333333,0.0,0.0,0.0,0.36046005988867763,0.0,0.0,0.0,11.036111111111111
uniform,initially_safe_posthoc,689,12,32.0,11.100145137880986,0.0,0.0,0.0,0.0,0.05997103001819983,0.0,0.0,0.0,0.375283940354578,0.0,0.0,0.0,11.074225283364434
