task_id,candidates,distinct_sources,valid_fraction,initial_public,initial_hidden,fully_correct_candidates,public_perfect_hidden_imperfect,public_frontier_count,public_frontier_hidden,trusted_score_std
bucket,32,20,0.875,0.15625,0.12823275862068967,0,0,20,0.1379310344827586,0.11052348405560466
digits,32,25,0.21875,0.0703125,0.010775862068965516,0,1,1,0.20689655172413793,0.04055302185539422
divisor_code,32,32,0.84375,0.140625,0.11745689655172414,0,0,4,0.19827586206896552,0.1373344648851544
fold,32,27,0.5,0.34375,0.18857758620689657,0,11,11,0.49216300940438873,0.24382746657174723
nearest,32,32,0.75,0.1015625,0.09590517241379312,0,0,2,0.22413793103448276,0.2235998289588207
round4,32,24,0.625,0.1484375,0.022629310344827586,0,0,4,0.02586206896551724,0.06472465676744418
saturating_square,32,31,0.0625,0.0,0.0,0,0,32,0.0,0.0
signed_remainder,32,10,0.90625,0.8203125,0.48491379310344823,0,26,26,0.5862068965517241,0.21895478764669374
