verifier_feature,signature_noise_sd,population_eta_star,max_true_gain,eta_at_max_gain,true_gain_eta250,proxy_gain_eta250
proxy_only,,22.540921688330393,0.08310500877900862,9.1,-0.13197766147385182,0.27994904353739414
weak_signature,4.0,22.62244397169967,0.08321307459013094,9.1,-0.1294563670926856,0.2799281081978051
medium_signature,1.0,26.146026376274357,0.08775461678075414,9.8,-0.05666062604714206,0.2889087539984509
strong_signature,0.35,inf,0.30235902147355986,163.4,0.29998311865573546,0.3110421853670025
near_exact_signature,0.1,inf,0.2911558761291331,102.5,0.2792446125443875,0.36263116450296307
exact_exploit_flag,0.0,inf,0.428261540794625,250.0,0.428261540794625,0.3586694084998121
