n,replications,beta1_mean,beta1_sd,certificate_fire_prob,eta10_wrong,eta50_wrong,eta90_wrong,width10_90
200,3000,0.7560618191110883,0.1947440415020425,0.984,17.08421052631576,22.70555555555551,33.81428571428563,16.73007518796987
1000,2400,0.7579328826755352,0.08508999935943978,1.0,19.783999999999967,22.559090909090866,26.429999999999943,6.645999999999976
5000,1200,0.7610596163423943,0.03859562350917269,1.0,21.138888888888847,22.54883720930228,24.038095238095188,2.8992063492063416
20000,600,0.7599267176182223,0.018769480437208177,1.0,21.856249999999957,22.537837837837795,23.299999999999955,1.4437499999999979
