target_KL,representation,eta_required,true_gain,proxy_gain,cauchy_risk_ratio,actual_KL,chi2
0.25,proxy_only,5.6629466509522555,0.07186421006540045,0.09192251287386521,0.8901958129502643,0.24999999999999986,0.5768487552364485
0.25,medium_signature,5.683320313082383,0.07361381719463644,0.09192713809130781,0.8818473665263629,0.25000000000000006,0.5709100145554727
0.25,strong_signature,5.751910441290333,0.0836539317462095,0.09259402785208692,0.8265234890461258,0.24999999999999992,0.5472342546670499
0.5,proxy_only,8.37564489691528,0.08263913819721158,0.12771410399333027,0.9856809828334314,0.5000000000000001,1.3652040438627293
0.5,medium_signature,8.446637200396989,0.08640033398458713,0.12750999656807926,0.9737145586570938,0.4999999999999999,1.3391990489747763
0.5,strong_signature,8.743355537909874,0.10803565215048194,0.12737898828036742,0.9108850283994706,0.5000000000000001,1.2578233115883757
1.0,proxy_only,12.847311521310552,0.07254034413938149,0.17531190478524628,1.187277152534005,0.9999999999999998,3.732279221733012
1.0,medium_signature,13.089348674109807,0.08058915763441965,0.1744871605860454,1.1703119128222494,1.0000000000000002,3.6226263332881423
1.0,strong_signature,14.09065398831897,0.13100447897288459,0.17191487867603683,1.1196373884873658,0.9999999999999999,3.461613983956878
1.5,proxy_only,17.138005050951,0.043373657217238626,0.20892375253687634,1.3917486309211244,1.4999999999999996,7.28357053089362
1.5,medium_signature,17.65264132754607,0.05550357418787377,0.20730839140636015,1.376813132560484,1.4999999999999996,7.077454732831912
1.5,strong_signature,19.500241988892107,0.14222580166488985,0.2019864467974024,1.401952480192558,1.5000000000000002,7.4921759271541575
2.0,proxy_only,21.925661510948267,0.004800795357583931,0.2347457887228469,1.5938499470142935,1.9999999999999998,12.05972969158654
2.0,medium_signature,22.846797375796548,0.0206529234901347,0.23224023866887922,1.5918702722175972,2.0,11.873632975966622
2.0,strong_signature,25.239889158398007,0.1519170180761451,0.22449204960220404,1.786700330233463,2.0,15.03149880581253
2.5,proxy_only,28.161465141327007,-0.038794671296191185,0.25496420602956504,1.7925082134861627,2.500000000000001,17.99400461727942
2.5,medium_signature,29.675789148641535,-0.01921060152016929,0.25153637567191256,1.8211121005128814,2.5,18.229228773208643
2.5,strong_signature,31.324678958459508,0.1644302201640343,0.2422565391921342,2.293899052149166,2.4999999999999996,28.85336984209661
3.0,proxy_only,38.74557566435014,-0.08466249644749829,0.27032857544172995,1.988125046172785,2.9999999999999996,24.883896930771453
3.0,medium_signature,40.76801423577405,-0.05967307989191517,0.26608697693389205,2.085753557089329,3.0,26.758795582187524
3.0,strong_signature,37.71384167467885,0.18078201445086217,0.25679324930914194,2.918862984201799,3.000000000000001,52.49180956146782
