matching_metric,mean_abs_true_gain_difference,median_abs_true_gain_difference,true_gain_correlation,sign_agreement
max_log_ratio,0.00433398163535462,0.0032000877134085726,0.9985358500717949,0.9949874686716792
mem_mass_shift,0.00433398163535462,0.0032000877134085726,0.9985358500717949,0.9949874686716792
chi2,0.0052818544081185605,0.0032347652352918144,0.9990316220514293,0.9874686716791979
proxy_gain,0.007454081846098502,0.0032911760670140677,0.9979760576360381,0.974937343358396
KL,0.008497770979977509,0.003308464967745006,0.995481623393665,0.9674185463659147
TV,0.012874649804773179,0.0033714731108659413,0.9720259892207305,0.9523809523809523
