acquisition,design,cohort,pairs,tasks,mean_deadline_events,failure,failure_difference,failure_lo,failure_hi,gain,gain_difference,gain_lo,gain_hi
policy,early,all,480,8,0.0,0.13125,0.052083333333333336,0.0125,0.09588541666666661,0.08689513550314626,0.004172968296175937,-0.008094649925213337,0.016580810637709126
policy,early,initially_safe_posthoc,468,8,0.0,0.11273148148148149,0.05625,0.0125,0.10579861111111111,0.08613068824279616,0.001783569865133416,-0.013705765449645996,0.01643671789091438
policy,geometry_10,all,480,8,1.1145833333333333,0.11666666666666667,0.0375,-0.004166666666666667,0.08750000000000001,0.07446899020331735,-0.008253177003652974,-0.01786359653289462,4.727851740553821e-05
policy,geometry_10,initially_safe_posthoc,468,8,1.143162393162393,0.09768518518518518,0.0412037037037037,-0.004166666666666667,0.09678240740740739,0.07373082661698024,-0.010616291760682479,-0.02267670540189139,-0.000282479237639853
policy,kl_05,all,480,8,1.5166666666666666,0.10416666666666666,0.025,0.004166666666666667,0.058333333333333334,0.07641656177860531,-0.006305605428365001,-0.01643332167374121,0.002969643237161492
policy,kl_05,initially_safe_posthoc,468,8,1.5341880341880343,0.08356481481481481,0.02708333333333333,0.004166666666666667,0.06388888888888888,0.07639381617047733,-0.007953302207185403,-0.01917413673577051,0.00268657892945125
policy,late,all,480,8,0.0,0.06041666666666667,-0.018750000000000003,-0.03125,-0.004166666666666667,0.07025784860495679,-0.012464318602013533,-0.02493589795752668,-0.002609765281727047
policy,late,initially_safe_posthoc,468,8,0.0,0.03657407407407407,-0.019907407407407405,-0.033796296296296297,-0.004629629629629629,0.07226949027859822,-0.012077628099064512,-0.02454920745457766,-0.0020771687194752336
policy,uniform,all,480,8,0.0,0.07916666666666666,0.0,0.0,0.0,0.08272216720697032,0.0,0.0,0.0
policy,uniform,initially_safe_posthoc,468,8,0.0,0.05648148148148148,0.0,0.0,0.0,0.08434711837766272,0.0,0.0,0.0
stream,early,all,480,8,0.0,0.1875,0.03958333333333333,0.0,0.08755208333333328,0.06853475038938403,4.668122914284166e-05,-0.015180945195578787,0.010613559439051222
stream,early,initially_safe_posthoc,468,8,0.0,0.17037037037037037,0.040740740740740744,0.00046296296296296276,0.08983796296296294,0.06816443853101142,-0.0017000511492886237,-0.015529339433857531,0.008639057193588106
stream,geometry_10,all,480,8,1.1,0.15208333333333332,0.004166666666666667,-0.014583333333333334,0.029166666666666667,0.06753163377984774,-0.0009564353803934424,-0.008181955522584928,0.006135200354356899
stream,geometry_10,initially_safe_posthoc,468,8,1.1282051282051282,0.1337962962962963,0.004166666666666666,-0.015057870370370369,0.02940393518518518,0.06717951679100431,-0.002684972889295736,-0.009026988334243063,0.004185628920356916
stream,kl_05,all,480,8,1.525,0.15,0.0020833333333333333,-0.018750000000000003,0.025,0.06282062619041232,-0.005667442969828872,-0.014418019700385367,0.0020012687006393747
stream,kl_05,initially_safe_posthoc,468,8,1.5427350427350428,0.13101851851851853,0.0013888888888888892,-0.019907407407407405,0.025,0.06302368245393607,-0.006840807226363969,-0.014625935373041729,1.2743965675651663e-05
stream,late,all,480,8,0.0,0.11666666666666667,-0.03125,-0.05416666666666667,-0.010416666666666666,0.0636244517519217,-0.004863617408319475,-0.011302405805426503,0.0009530352694194704
stream,late,initially_safe_posthoc,468,8,0.0,0.0962962962962963,-0.03333333333333333,-0.059045138888888876,-0.010416666666666668,0.06553108709675433,-0.004333402583545717,-0.011207548578319836,0.0018676773360027702
stream,uniform,all,480,8,0.0,0.14791666666666667,0.0,0.0,0.0,0.0684880691602412,0.0,0.0,0.0
stream,uniform,initially_safe_posthoc,468,8,0.0,0.12962962962962962,0.0,0.0,0.0,0.06986448968030004,0.0,0.0,0.0
